ս թ ա փ	ս թ ա փ
ն ա ե ւ	ն ա ե ւ
հ զ ո ր	հ զ ո ր
ծ ն ե լ	ծ ն ե լ
ե ր ա զ	ե ր ա զ
ք ն ա ր	ք ն ա ր
թ ր ե ւ	թ ր ե ւ
ն ե գ ր	ն ե գ ր
տ կ ա ր	տ կ ա ր
ձ գ ե լ	ձ գ ե լ
ծ լ ե լ	ծ լ ե լ
ե ռ ա լ	ե ռ ա լ
գ լ ա ն	գ լ ա ն
դ ա ռ ն	դ ա ռ ն
ի ն ք ն	ի ն ք ն
դ ա շ ն	դ ա շ ն
ք ս ե լ	ք ս ե լ
կ ն ի կ	կ ն ի կ
կ ք ե լ	կ ք ե լ
ե մ ի շ	ե մ ի շ
խ փ ե լ	խ փ ե լ
կ ն ի ք	կ ն ի ք
կ ռ ի վ	կ ռ ի վ
փ տ ա ծ	փ տ ա ծ
ղ ր ի մ	ղ ր ի մ
ե տ ի ն	ե տ ի ն
ճ կ ե լ	ճ կ ե լ
տ հ ա ճ	տ հ ա ճ
թ ր ի ք	թ ր ի ք
մ ե տ ր	մ ե տ ր
ծ ր ա ր	ծ ր ա ր
ո ս ո խ	ո ս ո խ
չ վ ե լ	չ վ ե լ
տ ե տ ր	տ ե տ ր
հ ր ե լ	հ ր ե լ
ն ր ա ն	ն ր ա ն
փ շ ա տ	փ շ ա տ
ղ պ տ ի	ղ պ տ ի
ո ր ո տ	ո ր ո տ
խ ր ա մ	խ ր ա մ
զ տ ե լ	զ տ ե լ
ծ ն ո տ	ծ ն ո տ
ո ս կ ե	ո ս կ ե
կ թ ե լ	կ թ ե լ
թ ք ե լ	թ ք ե լ
փ տ ե լ	փ տ ե լ
ն վ ե ր	ն վ ե ր
ք շ ե լ	ք շ ե լ
լ ք ե լ	լ ք ե լ
ք ց ե լ	ք ց ե լ
կ տ ա կ	կ տ ա կ
ո ր ա կ	ո ր ա կ
ե կ ո ղ	ե կ ո ղ
հ ա մ ր	հ ա մ ր
ո լ ո ռ	ո լ ո ռ
շ ն ե ր	շ ն ե ր
փ ն թ ի	փ ն թ ի
հ ս կ ա	հ ս կ ա
ք թ ո ց	ք թ ո ց
վ ր ա ն	վ ր ա ն
կ տ ո ր	կ տ ո ր
մ տ ի կ	մ տ ի կ
կ գ ա ն	կ գ ա ն
հ ն ա ր	հ ն ա ր
ա զ դ ր	ա զ դ ր
խ ա թ ր	խ ա թ ր
բ ջ ի ջ	բ ջ ի ջ
ե ր ա կ	ե ր ա կ
կ ր ի ա	կ ր ի ա
ե ղ ի ա	ե ղ ի ա
ծ լ ի կ	ծ լ ի կ
դ ժ ա ր	դ ժ ա ր
ե ր ե կ	ե ր ե կ
լ ի ք ն	լ ի ք ն
ե ր գ ի	ե ր գ ի
խ մ ո ր	խ մ ո ր
կ ճ ա տ	կ ճ ա տ
հ ր ա չ	հ ր ա չ
տ հ ա ս	տ հ ա ս
վ թ ա ր	վ թ ա ր
ս ղ ո ց	ս ղ ո ց
վ տ ի տ	վ տ ի տ
մ թ ո մ	մ թ ո մ
լ ի տ ր	լ ի տ ր
գ ծ ի կ	գ ծ ի կ
զ գ ա լ	զ գ ա լ
փ ա զ լ	փ ա զ լ
վ ռ ա մ	վ ռ ա մ
ե ր ե ք	ե ր ե ք
գ դ ա կ	գ դ ա կ
կ ր ե լ	կ ր ե լ
ն շ ա ն	ն շ ա ն
փ ո ք ր	փ ո ք ր
ե տ ե ւ	ե տ ե ւ
ս տ ե լ	ս տ ե լ
գ ն ե լ	գ ն ե լ
ո զ ն ի	ո զ ն ի
խ զ ե լ	խ զ ե լ
ծ ա ղ ր	ծ ա ղ ր
մ ղ ե ղ	մ ղ ե ղ
գ ր ի պ	գ ր ի պ
վ ր ա ց	վ ր ա ց
լ վ ա լ	լ վ ա լ
զ գ ո ն	զ գ ո ն
լ ս ե լ	լ ս ե լ
ե ր ե ց	ե ր ե ց
տ գ ե տ	տ գ ե տ
մ ն ա ք	մ ն ա ք
ե լ ա կ	ե լ ա կ
ձ մ ե ռ	ձ մ ե ռ
կ լ ո ր	կ լ ո ր
մ ի ա կ	մ ի ա կ
թ խ կ ի	թ խ կ ի
շ ռ ե լ	շ ռ ե լ
բ լ ի թ	բ լ ի թ
ս տ ի ն	ս տ ի ն
լ ծ ե լ	լ ծ ե լ
ե ղ ի ր	ե ղ ի ր
մ ա ն ր	մ ա ն ր
վ հ ա տ	վ հ ա տ
խ ց ի կ	խ ց ի կ
ս ա ն ր	ս ա ն ր
ա յ ժ մ	ա յ ժ մ
խ ա ռ ն	խ ա ռ ն
վ ր ե ժ	վ ր ե ժ
ա ն գ ղ	ա ն գ ղ
մ ե ղ ր	մ ե ղ ր
մ ն ա լ	մ ն ա լ
ծ խ ո ղ	ծ խ ո ղ
թ ե ե ւ	թ ե ե ւ
ք ն ե լ	ք ն ե լ
մ ա խ ր	մ ա խ ր
ե վ ր ո	ե ւ ր ո
ծ խ ա ծ	ծ խ ա ծ
գ ր ո հ	գ ր ո հ
չ բ ե ր	չ բ ե ր
մ ղ ե լ	մ ղ ե լ
ո ս կ ի	ո ս կ ի
ք ն ա ծ	ք ն ա ծ
կ ի ե ւ	կ ի ե ւ
ն մ ա ն	ն մ ա ն
կ ց ե լ	կ ց ե լ
զ ր ա հ	զ ր ա հ
մ թ ա մ	մ թ ա մ
մ հ ա	մ հ ա
ո մ ն	ո մ ն
ա թ ս	ա թ ս
ե ւ ս	ե ւ ս
կ ը հ	կ ը հ
ե ղ ն	ե ղ ն
ա մ ն	ա մ ն
ա պ հ	ա պ հ
ս պ ը	ս պ ը
ա գ ն	ա գ ն
խ պ ի պ	խ պ ի պ
պ տ ե ր	պ տ ե ր
դ ի ա կ	դ ի ա կ
ճ չ ա լ	ճ չ ա լ
խ մ ա ծ	խ մ ա ծ
գ ր ա զ	գ ր ա զ
գ ն ա ճ	գ ն ա ճ
ջ վ ա լ	ջ վ ա լ
լ ղ ի մ	լ ղ ի մ
ծ ծ ե լ	ծ ծ ե լ
պ ս ա կ	պ ս ա կ
հ ր ա տ	հ ր ա տ
ց ր ե լ	ց ր ե լ
ծ ղ ո տ	ծ ղ ո տ
ս վ ի ն	ս վ ի ն
պ լ ո ր	պ լ ո ր
ս ա ռ ն	ս ա ռ ն
ե թ ե ր	ե թ ե ր
շ ղ թ ա	շ ղ թ ա
ե ղ ա ծ	ե ղ ա ծ
ս ր ա հ	ս ր ա հ
ե ղ ե ք	ե ղ ե ք
ե մ ե ն	ե մ ե ն
ճ ր ա գ	ճ ր ա գ
վ ճ ա ր	վ ճ ա ր
ն վ ա զ	ն վ ա զ
շ փ ե լ	շ փ ե լ
բ ր ե տ	բ ր ե տ
ս տ ե պ	ս տ ե պ
ն վ ա գ	ն վ ա գ
հ ի մ ն	հ ի մ ն
ֆ ր ի զ	ֆ ր ի զ
խ ց ա ն	խ ց ա ն
կ ղ զ ի	կ ղ զ ի
ա ր կ ղ	ա ր կ ղ
շ տ ա բ	շ տ ա բ
խ թ ա ն	խ թ ա ն
խ տ ի ղ	խ տ ի ղ
տ պ ի չ	տ պ ի չ
ժ լ ա տ	ժ լ ա տ
խ ն ա մ	խ ն ա մ
խ մ ե լ	խ մ ե լ
խ ռ ո վ	խ ռ ո վ
ս ր ե լ	ս ր ե լ
ա ս տ ղ	ա ս տ ղ
պ ն ա կ	պ ն ա կ
